Unnamed: 0,brand_name,rating,number_of_reviews,price
317,V2A,3.9,1300.0,720
318,TIMEX,4.2,655000.0,"2,047"
319,Generic,4.2,3000.0,460
320,Tommy Hilfiger,4.2,26000.0,"7,600"
321,SF,3.8,4000.0,675
322,Titan,4.4,227000.0,"8,860"
323,Invicta,4.5,4500.0,"6,800"
324,TIMEX,4.3,23000.0,"14,495"
325,GOLDENIZE FASHION,4.0,40000.0,259
326,GENERIC,,,148
327,Titan,4.3,629000.0,"2,470"
328,Titan,4.6,44000.0,"9,764"
329,Titan,4.2,841000.0,"5,035"
330,Titan,4.3,587000.0,"5,695"
331,Fastrack,4.4,85000.0,"1,622"
332,Fossil,4.2,1600.0,"7,796"
333,LORENZ,3.9,3500.0,387
334,TIMEX,4.2,144000.0,"2,296"
335,Casio,4.5,209000.0,"24,994"
336,TIMEX,3.9,327000.0,"1,719"
337,Sonata,4.5,83000.0,"3,694"
338,OLEVS,3.8,1000.0,"3,010"
339,Fastrack,3.9,5800.0,795
340,Armani Exchange,4.2,10000.0,"15,995"
341,OLEVS,4.7,18000.0,"6,800"
342,Casio,4.4,407000.0,"8,396"
343,Fastrack,4.4,139000.0,"1,995"
344,Seiko,4.4,483000.0,"22,500"
345,V2A,4.0,2000.0,473
346,Casio,4.5,561000.0,"3,996"
347,Titan,4.2,88000.0,"7,252"
348,Titan,4.3,214000.0,"6,795"
349,Casio,4.3,18000.0,"4,797"
350,styledose,3.9,442000.0,351
351,TIMEX,4.0,190000.0,"1,747"
352,Sonata,4.2,97000.0,684
353,Fastrack,3.8,4000.0,"1,795"
354,Sonata,4.0,2200.0,799
355,Giordano,3.6,34000.0,"3,248"
356,Casio,4.4,1100.0,"9,596"
357,Sonata,4.0,298000.0,"1,194"
358,Titan,3.9,60000.0,"10,132"
359,Casio,4.3,547000.0,"9,194"
360,Fossil,3.9,4000.0,"14,495"
361,Sonata,4.1,1300.0,849
362,Fastrack,4.1,3800.0,"1,676"
363,IIK COLLECTION,3.9,971000.0,321
364,TIMEX,4.2,31000.0,"3,777"
365,TIMEX,4.2,332000.0,"2,497"
366,Fastrack,4.3,56000.0,"2,236"
367,Titan,4.2,527000.0,"9,108"
368,Titan,4.3,30000.0,"8,555"
369,Titan,4.5,72000.0,"8,571"
370,Sonata,4.0,30000.0,"4,694"
371,SF,4.1,3100.0,481
372,Titan,4.3,137000.0,"5,966"
373,Titan,4.4,175000.0,"9,875."
374,TIMEX,4.3,85000.0,"3,998"
375,Sonata,4.4,3000.0,"1,495"
376,Fastrack,4.3,308000.0,"1,345"
377,Carlington,3.8,502000.0,898
378,Sonata,4.1,233000.0,"1,151"
379,V2A,3.8,376000.0,720
380,Fastrack,4.2,482000.0,"2,555"
381,Acnos,4.3,230000.0,259
382,Shocknshop,3.8,18000.0,473
383,Casio,4.4,432000.0,"16,995"
384,Casio,3.8,30000.0,"4,495"
385,Acnos,3.6,603000.0,407
386,Acnos,4.0,2800.0,265
387,TIMEWEAR,3.8,10200.0,279
388,INDIAN E-COMMERCE,,,"4,990"
389,Titan,4.3,1400.0,"11,628"
390,SKMEI,4.3,1100.0,989
391,TIMEX,5.0,2000.0,"6,293"
392,Fastrack,4.2,3400.0,"1,396"
393,TIMEX,4.3,154000.0,"2,846"
394,Titan,4.2,376000.0,"2,795"
395,Fossil,3.6,13000.0,"19,596"
396,Casio,3.8,32000.0,"4,495"
397,Generic,,,529
398,Fastrack,3.8,1100.0,"2,096"
399,Matrix,3.5,225000.0,258
400,Carlington,4.2,1200.0,948
401,Casio,4.7,84000.0,"3,494"
402,GOLDENIZE FASHION,4.4,34000.0,629
403,Casio,4.4,157000.0,"19,994"
404,TIMEWEAR,3.6,1500.0,319
405,Titan,4.2,254000.0,"4,166"
406,BENYAR,4.0,1500.0,"2,840"
407,Zoop,4.4,377000.0,994
408,Sonata,4.1,595000.0,"1,075"
409,Casio,4.4,169000.0,"5,994"
410,Casio,4.6,74000.0,"1,695"
411,Armani Exchange,4.2,154000.0,"10,497"
412,FEICE,4.3,10000.0,"8,499"
413,LONGBO,4.0,1400.0,948
414,Carlington,4.2,224000.0,"1,798"
415,Sonata,4.2,467000.0,998
416,Titan,3.9,248000.0,"4,157"
417,Giordano,3.8,43000.0,"3,242"
418,Casio,4.4,12000.0,"10,795"
419,OLEVS,3.8,1700.0,"3,800"
420,Shocknshop,3.6,2000.0,283
421,Sonata,4.5,158000.0,809
422,Casio,4.4,56000.0,"19,995"
423,Acnos,4.0,154000.0,283
424,Oculus,3.8,36000.0,449.
425,Citizen,4.5,1300.0,"31,410"
426,Casio,4.5,223000.0,"10,995"
427,Fossil,4.4,13000.0,"10,495"
428,V2A,4.0,302000.0,568
429,Casio,4.4,946000.0,"3,794"
430,Zoop,4.5,74000.0,933
431,Casio,4.6,108000.0,"13,596"
432,Casio,4.2,16000.0,"5,395"
433,Sonata,3.9,4800.0,675
434,Sonata,4.8,8000.0,"1,709"
435,Sonata,3.9,37000.0,996
436,Casio,4.0,16000.0,"4,494"
437,Casio,4.4,27000.0,"9,995"
438,Titan,4.4,236000.0,"8,021"
439,NIBOSI,4.0,1200.0,"3,700"
440,Casio,3.0,4000.0,"20,995"
441,Casio,4.4,1200.0,"8,995"
442,Casio,4.4,35000.0,"1,695"
443,Casio,4.3,54000.0,"3,356"
444,Fastrack,4.1,4600.0,"2,216"
445,Fossil,4.4,76000.0,"8,697"
446,GOLDENIZE FASHION,3.9,1100.0,278
447,OLEVS,4.1,543000.0,"3,800"
448,Sonata,4.3,154000.0,"3,694"
449,Armani Exchange,4.2,1900.0,"13,994"
450,Thomas Earnshaw,3.8,177000.0,"20,225"
451,LORENZ,4.1,509000.0,530
452,Casio,4.7,74000.0,"3,145"
453,Fossil,4.3,15000.0,"11,995"
454,Casio,4.4,683000.0,"7,195"
455,Casio,4.8,5000.0,"4,495"
456,Casio,4.2,844000.0,"2,395"
457,Helstine,3.5,37000.0,"2,729"
458,EDGE,3.9,60000.0,"13,596"
459,Fossil,,,"18,995"
460,OLEVS,3.9,972000.0,"3,800"
461,Daniel Hechter,4.6,10000.0,"2,849"
462,Fastrack,4.0,2600.0,"3,775"
463,Fastrack,3.7,12000.0,"1,849"
464,Fastrack,4.4,69000.0,"2,894"
465,Acnos,3.6,342000.0,298
466,Fossil,4.0,6200.0,"11,596"
467,Sonata,4.3,1000.0,766
468,EDGE,5.0,6000.0,"24,645"
469,SF,4.1,5300.0,499
470,Sonata,4.0,171000.0,"1,474"
471,Fossil,4.7,18000.0,"15,495"
472,Casio,4.4,343000.0,"11,994"
473,V2A,3.9,2300.0,940
474,Generic,4.2,60000.0,"1,999"
475,VOSTOK,3.7,8000.0,"18,196."
476,Diesel,4.0,8000.0,"27,996"
477,GUESS,,,"17,995"
478,V2A,4.0,1300.0,940
479,TIMEX,4.0,1300.0,"1,495"
480,Casio,4.4,817000.0,"7,596"
481,TIMEX,4.0,104000.0,"1,396"
482,SOLLEN,4.0,34000.0,"3,825"
483,TIMEX,4.4,88000.0,"3,158"
484,Titan,4.2,1100.0,"2,667"
485,Casio,4.3,773000.0,"3,995"
486,Fossil,4.8,25000.0,"15,494"
487,Giordano,3.9,22000.0,"4,998"
488,Lee Cooper,4.5,2000.0,"5,792"
489,BENYAR,3.9,848000.0,"2,840"
490,Titan,4.6,67000.0,"2,979"
491,Shocknshop,3.8,643000.0,426
492,TIMEX,4.6,7000.0,"4,043"
493,Casio,5.0,1000.0,"11,995"
494,OBLVLO,,,"74,978."
495,TIMEX,,,"17,995"
496,Titan,4.2,92000.0,"10,211"
497,Casio,4.2,55000.0,"3,145"
498,Casio,4.4,544000.0,"4,194"
499,Generic,4.2,24000.0,499
500,Casio,4.0,1000.0,"3,995"
501,Titan,4.5,193000.0,"12,796"
502,Fossil,3.7,1200.0,"19,994"
503,Fossil,4.3,5000.0,"21,995"
504,Casio,4.5,402000.0,"7,836"
505,Tommy Hilfiger,4.1,22000.0,"8,579"
506,Fastrack,4.2,91000.0,895
507,Lionmati,5.0,2000.0,563
508,LONGBO,4.1,287000.0,948
509,Sonata,4.2,948000.0,769
510,DOUBLERUN,4.0,403000.0,399
511,Titan,3.2,2000.0,"19,996"
512,Titan,4.2,788000.0,"2,808"
513,Seiko,4.4,114000.0,"40,500"
514,SKMEI,4.2,4300.0,989
515,Invicta,4.4,19000.0,"7,999"
516,Fastrack,4.2,1400.0,"2,394"
517,Invicta,4.5,1600.0,"14,900"
518,Titan,4.2,25000.0,"22,494"
519,Sonata,4.2,2100.0,765
520,Tommy Hilfiger,3.9,15000.0,"17,999"
521,Shocknshop,4.3,21000.0,"1,233"
522,Fiiasa,3.5,24000.0,999
523,OLEVS,3.9,309000.0,"2,831"
524,BRETLEY,,,"66,916"
525,Tommy Hilfiger,4.1,23000.0,"11,375"
526,Casio,4.5,210000.0,"12,994"
527,Armani Exchange,4.1,21000.0,"23,995"
528,SKMEI,4.2,1800.0,"2,158"
529,Sonata,4.0,1300.0,795
530,Fastrack,4.4,127000.0,"2,635"
531,Sonata,4.3,220000.0,684
532,Sylvi,3.8,254000.0,"1,549"
533,Sonata,4.3,135000.0,"1,045"
534,Casio,4.4,291000.0,"4,236"
535,Armani Exchange,4.5,24000.0,"23,995"
536,Peugeot,4.1,569000.0,"13,531."
537,Titan,4.5,107000.0,"8,236"
538,Seiko,4.3,141000.0,"20,700"
539,Luminex Commerce,4.2,80000.0,"1,755"
540,Fastrack,4.0,87000.0,"3,775"
541,Casio,4.8,14000.0,"4,797"
542,Casio,4.3,3000.0,"2,516"
543,TIMEWEAR,3.8,967000.0,949
544,Fossil,4.1,160000.0,"18,895"
545,AMERICANVIBER,3.2,8000.0,526
546,Carlington,4.2,284000.0,948
547,LAVISHABLE,1.0,1000.0,249
548,LOUIS DEVIN,3.8,2200.0,341
549,Sonata,4.4,61000.0,"1,775"
550,Generic,,,249
551,Armani Exchange,5.0,4000.0,"9,998"
552,LIGE,4.0,1000.0,"3,499"
553,Titan,,,"12,995"
554,Sonata,4.3,254000.0,"1,083"
555,Sonata,4.2,105000.0,"2,656"
556,Matrix,3.9,64000.0,448
557,Fastrack,4.6,19000.0,"1,495"
558,Titan,4.1,33000.0,"10,586"
559,Casio,4.7,17000.0,"11,995"
560,AGELOCER,5.0,1000.0,"55,434"
561,Fossil(フォッシル),,,"12,490"
562,NAVIFORCE,4.2,462000.0,"2,399"
563,Titan,4.3,162000.0,"6,235"
564,Emporio Armani,4.0,13000.0,"13,997"
565,Titan,3.9,441000.0,"1,995"
566,Sonata,4.4,40000.0,"3,994"
567,TIMEX,4.1,10000.0,"5,596"
568,SELLORIA,3.9,413000.0,174
569,Casio,4.2,330000.0,"3,695"
570,BENYAR,4.1,1400.0,"2,840"
571,Diesel,4.2,9000.0,"40,994"
572,V2A,3.8,1800.0,940
573,Casio,4.3,44000.0,"10,396"
574,Titan,4.3,259000.0,"2,761"
575,Tommy Hilfiger,4.7,7000.0,"9,499"
576,Sonata,4.0,2000.0,809
577,Casio,4.4,138000.0,"10,655"
578,Fastrack,4.2,1100.0,"1,326"
579,Casio,4.3,663000.0,"2,635"
580,Casio,3.4,21000.0,"9,195"
581,Emporio Armani,5.0,3000.0,"25,995"
582,AMERICANVIBER,4.0,38000.0,428
583,SKMEI,4.0,3300.0,"1,386"
584,Lee Cooper,5.0,1000.0,"5,385"
585,Casio,4.5,121000.0,"13,596"
586,TIMEWORKS,3.8,308000.0,347
587,Armani Exchange,4.2,502000.0,"11,318"
588,Casio,4.6,224000.0,"2,995"
589,Casio,4.2,452000.0,"3,996"
590,Titan,4.4,190000.0,"9,438"
591,V2A,3.7,687000.0,711
592,Fossil,4.2,58000.0,"13,494"
593,Carlington,4.2,307000.0,948
594,NIBOSI,3.8,625000.0,"1,890"
595,V2A,4.0,221000.0,568
596,TIMEX,5.0,3000.0,"4,223"
597,Sonata,4.3,159000.0,881
598,HORIZEN,4.2,18000.0,"2,736"
599,Citizen,4.6,117000.0,"35,009"
600,V2A,4.1,208000.0,759
601,Titan,4.5,117000.0,"7,996"
602,Fastrack,4.0,232000.0,"2,166"
603,Fossil,5.0,3000.0,"8,097"
604,SKMEI,4.1,426000.0,
605,Armani Exchange,4.1,1900.0,"16,495"
606,Sonata,4.2,791000.0,"1,399"
607,Fastrack,4.6,20000.0,"4,945"
608,Casio,4.5,28000.0,"3,995"
609,Titan,4.3,382000.0,"12,745"
610,Titan,4.3,280000.0,"2,899"
611,Sonata,4.1,240000.0,745
612,Fastrack,4.3,37000.0,"5,794"
613,Fossil,5.0,3000.0,"21,994"
614,Fossil,4.5,8000.0,"12,995"
615,RADO Switzerland,5.0,1000.0,"9,999"
616,Titan,4.3,31000.0,"16,549"
617,BINBOND,3.2,37000.0,"3,500"
618,Fossil,4.3,11000.0,"11,995"
619,Shocknshop,3.6,695000.0,426
620,OLEVS,4.4,12000.0,"4,800"
621,Fossil,4.0,23000.0,"15,494"
622,Giordano,4.2,60000.0,"3,692"
